name,fq
Batrachochytrium_dendrobatidis_CLFT067,nanopore_fq/CLFT067_total.fastq.gz
Batrachochytrium_dendrobatidis_CLFT071,nanopore_fq/71_nanopore.fastq.gz
Batrachochytrium_dendrobatidis_CLFT044,/rhome/myaco005/shared/projects/Chytrid/BdCLFT044_nanopore/fastq_files/44_nanopore.fastq.gz
Polyrhizophydium_stewartii_JEL0888,NULL
Batrachochytrium_dendrobatidis_JEL423,NULL
Hompol1_Assembly,NULL
Batrachochytrium_dendrobatidis_JAM81,NULL
Batrachochytrium_dendrobatidis_RTP6,NULL
Batrachochytrium_salamandrivorans_AMFP13.1,NULL
